2018-07-17 15:12:22.862 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cheung.ApplicationTests], using SpringBootContextLoader
2018-07-17 15:12:22.867 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.cheung.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-17 15:12:22.868 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.cheung.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-17 15:12:22.948 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.cheung.Application for test class com.cheung.ApplicationTests
2018-07-17 15:12:22.954 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-17 15:12:22.965 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@45018215, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@65d6b83b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@d706f19, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@30b7c004, org.springframework.test.context.support.DirtiesContextTestExecutionListener@79efed2d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2928854b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@27ae2fd0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@29176cc1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2f177a4b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4278a03f]
2018-07-17 15:12:22.969 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cheung.ApplicationTests], using SpringBootContextLoader
2018-07-17 15:12:22.970 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.cheung.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-17 15:12:22.970 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.cheung.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-17 15:12:22.974 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.cheung.Application for test class com.cheung.ApplicationTests
2018-07-17 15:12:22.978 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-17 15:12:22.981 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7c0c77c7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7adda9cc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5cee5251, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@433d61fb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5c909414, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4b14c583, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@65466a6a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4ddced80, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1534f01b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@78e117e3]
2018-07-17 15:12:23.283 [main] INFO  com.cheung.ApplicationTests - Starting ApplicationTests on USER-20160428NI with PID 11904 (started by Administrator in F:\develop\ideaProjects_myDemos\spring-cloud-projects\02-spring-boot-logback)
2018-07-17 15:12:23.283 [main] INFO  com.cheung.ApplicationTests - No active profile set, falling back to default profiles: default
2018-07-17 15:12:23.307 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1a75e76a: startup date [Tue Jul 17 15:12:23 CST 2018]; root of context hierarchy
2018-07-17 15:12:23.648 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
2018-07-17 15:12:24.483 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@1a75e76a: startup date [Tue Jul 17 15:12:23 CST 2018]; root of context hierarchy
2018-07-17 15:12:24.545 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/hello]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.cheung.controller.HelloWorldController.showHelloWorld()
2018-07-17 15:12:24.547 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-07-17 15:12:24.548 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-07-17 15:12:24.577 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-17 15:12:24.577 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-17 15:12:24.621 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-17 15:12:24.753 [main] INFO  com.cheung.ApplicationTests - Started ApplicationTests in 1.712 seconds (JVM running for 2.287)
2018-07-17 15:12:24.791 [Thread-2] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@1a75e76a: startup date [Tue Jul 17 15:12:23 CST 2018]; root of context hierarchy
